"site_id","latitude","longitude","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_description","first_yes_year","first_yes_month","first_yes_day","first_yes_doy","first_yes_julian_date","numdays_since_prior_no","ind_phen","phenophase","state","series_yrs","first_yes_date","yeartype","dop","year","resident","present_jan1","ind_phen_year"
9340,35.642353,-83.687431,1236,"Setophaga","citrina","hooded warbler","Animalia",75396,293,"Calls or song (birds)",2013,4,13,103,2456396,NA,"75396_Calls or song (birds)","Adults observed","TN",9,2013-04-13,"calendar",103,2013,FALSE,0,"75396_Calls or song (birds)_2013"
8806,35.640625,-83.689034,1098,"Setophaga","virens","black-throated green warbler","Animalia",75401,293,"Calls or song (birds)",2013,4,9,99,2456392,NA,"75401_Calls or song (birds)","Adults observed","TN",14,2013-04-09,"calendar",99,2013,FALSE,0,"75401_Calls or song (birds)_2013"
8806,35.640625,-83.689034,1230,"Setophaga","americana","northern parula","Animalia",75406,293,"Calls or song (birds)",2013,4,9,99,2456392,NA,"75406_Calls or song (birds)","Adults observed","TN",11,2013-04-09,"calendar",99,2013,FALSE,0,"75406_Calls or song (birds)_2013"
8806,35.640625,-83.689034,377,"Vireo","olivaceus","red-eyed vireo","Animalia",75407,293,"Calls or song (birds)",2013,4,21,111,2456404,NA,"75407_Calls or song (birds)","Adults observed","TN",14,2013-04-21,"calendar",111,2013,FALSE,0,"75407_Calls or song (birds)_2013"
681,41.296783,-105.5746,246,"Turdus","migratorius","American robin","Animalia",6025,292,"Live individuals",2014,3,5,64,2456722,NA,"6025_Live individuals","Adults observed","WY",10,2014-03-05,"calendar",64,2014,FALSE,0,"6025_Live individuals_2014"
1419,42.011166,-88.503304,244,"Charadrius","vociferus","killdeer","Animalia",10286,293,"Calls or song (birds)",2014,10,10,283,2456941,6,"10286_Calls or song (birds)","Adults observed","IL",12,2014-10-10,"calendar",283,2014,FALSE,0,"10286_Calls or song (birds)_2014"
1447,42.176537,-85.892448,360,"Icterus","galbula","Baltimore oriole","Animalia",11246,293,"Calls or song (birds)",2014,5,4,124,2456782,10,"11246_Calls or song (birds)","Adults observed","MI",9,2014-05-04,"calendar",124,2014,FALSE,0,"11246_Calls or song (birds)_2014"
5428,48.033489,-122.598724,240,"Spinus","tristis","American goldfinch","Animalia",11347,292,"Live individuals",2014,5,3,123,2456781,67,"11347_Live individuals","Adults observed","WA",14,2014-05-03,"calendar",123,2014,FALSE,0,"11347_Live individuals_2014"
5582,45.195858,-70.45369,246,"Turdus","migratorius","American robin","Animalia",12466,292,"Live individuals",2014,5,12,132,2456790,11,"12466_Live individuals","Adults observed","ME",9,2014-05-12,"calendar",132,2014,FALSE,0,"12466_Live individuals_2014"
5582,45.195858,-70.45369,243,"Gavia","immer","common loon","Animalia",12467,293,"Calls or song (birds)",2014,5,1,121,2456779,4,"12467_Calls or song (birds)","Adults observed","ME",12,2014-05-01,"calendar",121,2014,FALSE,0,"12467_Calls or song (birds)_2014"
5583,45.196041,-70.459015,243,"Gavia","immer","common loon","Animalia",12472,292,"Live individuals",2014,5,28,148,2456806,9,"12472_Live individuals","Adults observed","ME",12,2014-05-28,"calendar",148,2014,FALSE,0,"12472_Live individuals_2014"
5674,44.910587,-70.266861,246,"Turdus","migratorius","American robin","Animalia",12709,292,"Live individuals",2014,4,20,110,2456768,7,"12709_Live individuals","Adults observed","ME",13,2014-04-20,"calendar",110,2014,FALSE,0,"12709_Live individuals_2014"
5674,44.910587,-70.266861,352,"Archilochus","colubris","ruby-throated hummingbird","Animalia",12712,292,"Live individuals",2014,5,25,145,2456803,7,"12712_Live individuals","Adults observed","ME",14,2014-05-25,"calendar",145,2014,FALSE,0,"12712_Live individuals_2014"
2803,39.971001,-105.397003,246,"Turdus","migratorius","American robin","Animalia",16046,292,"Live individuals",2014,1,1,1,2456659,NA,"16046_Live individuals","Adults observed","CO",15,2014-01-01,"calendar",1,2014,FALSE,0,"16046_Live individuals_2014"
2803,39.971001,-105.397003,354,"Selasphorus","platycercus","broad-tailed hummingbird","Animalia",16048,292,"Live individuals",2014,5,1,121,2456779,6,"16048_Live individuals","Adults observed","CO",15,2014-05-01,"calendar",121,2014,FALSE,0,"16048_Live individuals_2014"
2803,39.971001,-105.397003,357,"Sialia","mexicana","western bluebird","Animalia",16214,292,"Live individuals",2014,3,26,85,2456743,6,"16214_Live individuals","Adults observed","CO",14,2014-03-26,"calendar",85,2014,FALSE,0,"16214_Live individuals_2014"
8242,31.596231,-110.575493,353,"Archilochus","alexandri","black-chinned hummingbird","Animalia",23606,292,"Live individuals",2014,3,27,86,2456744,37,"23606_Live individuals","Adults observed","AZ",10,2014-03-27,"calendar",86,2014,FALSE,0,"23606_Live individuals_2014"
8496,46.328629,-96.061256,246,"Turdus","migratorius","American robin","Animalia",25780,292,"Live individuals",2014,3,26,85,2456743,8,"25780_Live individuals","Adults observed","MN",14,2014-03-26,"calendar",85,2014,FALSE,0,"25780_Live individuals_2014"
8496,46.328629,-96.061256,352,"Archilochus","colubris","ruby-throated hummingbird","Animalia",25784,292,"Live individuals",2014,5,11,131,2456789,3,"25784_Live individuals","Adults observed","MN",14,2014-05-11,"calendar",131,2014,FALSE,0,"25784_Live individuals_2014"
8496,46.328629,-96.061256,1104,"Hirundo","rustica","barn swallow","Animalia",25894,292,"Live individuals",2014,5,5,125,2456783,6,"25894_Live individuals","Adults observed","MN",14,2014-05-05,"calendar",125,2014,FALSE,0,"25894_Live individuals_2014"
