"site_id","latitude","longitude","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_description","first_yes_year","first_yes_month","first_yes_day","first_yes_doy","first_yes_julian_date","numdays_since_prior_no","ind_phen","phenophase","state","series_yrs","first_yes_date","yeartype","dop","year","resident","present_jan1","ind_phen_year"
10145,42.602543,-83.250992,352,"Archilochus","colubris","ruby-throated hummingbird","Animalia",38951,292,"Live individuals",2015,5,13,133,2457156,1,"38951_Live individuals","Adults observed","MI",11,2015-05-13,"calendar",133,2015,FALSE,0,"38951_Live individuals_2015"
10717,38.285664,-111.246605,246,"Turdus","migratorius","American robin","Animalia",42593,292,"Live individuals",2015,4,4,94,2457117,6,"42593_Live individuals","Adults observed","UT",10,2015-04-04,"calendar",94,2015,FALSE,0,"42593_Live individuals_2015"
17414,42.936153,-73.433449,1124,"Tachycineta","bicolor","tree swallow","Animalia",66940,292,"Live individuals",2015,4,8,98,2457121,6,"66940_Live individuals","Adults observed","NY",12,2015-04-08,"calendar",98,2015,FALSE,0,"66940_Live individuals_2015"
19944,33.66478,-117.843063,242,"Petrochelidon","pyrrhonota","cliff swallow","Animalia",81457,292,"Live individuals",2015,8,14,226,2457249,5,"81457_Live individuals","Adults observed","CA",11,2015-08-14,"calendar",226,2015,FALSE,0,"81457_Live individuals_2015"
17414,42.936153,-73.433449,1197,"Geothlypis","trichas","common yellowthroat","Animalia",86970,292,"Live individuals",2015,6,19,170,2457193,7,"86970_Live individuals","Adults observed","NY",10,2015-06-19,"calendar",170,2015,FALSE,0,"86970_Live individuals_2015"
20765,33.632149,-117.55545,358,"Setophaga","petechia","yellow warbler","Animalia",88476,293,"Calls or song (birds)",2015,6,9,160,2457183,5,"88476_Calls or song (birds)","Adults observed","CA",9,2015-06-09,"calendar",160,2015,FALSE,0,"88476_Calls or song (birds)_2015"
1419,42.011166,-88.503304,244,"Charadrius","vociferus","killdeer","Animalia",10286,293,"Calls or song (birds)",2016,3,28,88,2457476,8,"10286_Calls or song (birds)","Adults observed","IL",10,2016-03-28,"calendar",88,2016,FALSE,0,"10286_Calls or song (birds)_2016"
5582,45.195858,-70.45369,243,"Gavia","immer","common loon","Animalia",12467,293,"Calls or song (birds)",2016,5,4,125,2457513,8,"12467_Calls or song (birds)","Adults observed","ME",12,2016-05-04,"calendar",125,2016,FALSE,0,"12467_Calls or song (birds)_2016"
5583,45.196041,-70.459015,243,"Gavia","immer","common loon","Animalia",12472,292,"Live individuals",2016,6,7,159,2457547,7,"12472_Live individuals","Adults observed","ME",12,2016-06-07,"calendar",159,2016,FALSE,0,"12472_Live individuals_2016"
5674,44.910587,-70.266861,246,"Turdus","migratorius","American robin","Animalia",12709,292,"Live individuals",2016,3,20,80,2457468,7,"12709_Live individuals","Adults observed","ME",13,2016-03-20,"calendar",80,2016,FALSE,0,"12709_Live individuals_2016"
5674,44.910587,-70.266861,352,"Archilochus","colubris","ruby-throated hummingbird","Animalia",12712,292,"Live individuals",2016,5,15,136,2457524,7,"12712_Live individuals","Adults observed","ME",14,2016-05-15,"calendar",136,2016,FALSE,0,"12712_Live individuals_2016"
