"group","common_name","phenophase_description","site_id","latitude","longitude","n","resident","jan1","present_jan1"
"Bird","hooded warbler","Calls or song (birds)",9342,35.644516,-83.68988,10,FALSE,"nb",0
"Bird","house sparrow","Calls or song (birds)",6102,32.23188,-110.951012,10,TRUE,NA,1
"Bird","house sparrow","Calls or song (birds)",8418,32.363758,-94.873947,10,TRUE,NA,1
"Bird","house sparrow","Fruit/seed consumption",6102,32.23188,-110.951012,10,TRUE,NA,1
"Bird","house sparrow","Fruit/seed consumption",8418,32.363758,-94.873947,10,TRUE,NA,1
"Bird","house sparrow","Individuals at a feeding station",8418,32.363758,-94.873947,10,TRUE,NA,1
"Bird","house sparrow","Live individuals",6102,32.23188,-110.951012,10,TRUE,NA,1
"Bird","house sparrow","Live individuals",8418,32.363758,-94.873947,10,TRUE,NA,1
"Bird","house sparrow","Singing individuals (birds)",6102,32.23188,-110.951012,10,TRUE,NA,1
"Bird","house wren","Calls or song (birds)",10145,42.602543,-83.250992,10,FALSE,"nb",0
"Bird","house wren","Nest building (birds)",8496,46.328629,-96.061256,10,FALSE,"nb",0
"Bird","killdeer","Calls or song (birds)",19944,33.66478,-117.843063,10,FALSE,"nb",1
"Bird","killdeer","Live individuals",19944,33.66478,-117.843063,10,FALSE,"nb",1
"Bird","lesser goldfinch","Fruit/seed consumption",8242,31.596231,-110.575493,10,FALSE,"nb",1
"Bird","lesser goldfinch","Live individuals",8242,31.596231,-110.575493,10,FALSE,"nb",1
"Bird","mallard","Live individuals",10145,42.602543,-83.250992,10,FALSE,"nb",1
"Bird","mourning dove","Calls or song (birds)",8496,46.328629,-96.061256,10,FALSE,"nb",0
"Bird","mourning dove","Individuals at a feeding station",8418,32.363758,-94.873947,10,FALSE,"nb",1
"Bird","mourning dove","Live individuals",1447,42.176537,-85.892448,10,FALSE,"nb",1
"Bird","mourning dove","Live individuals",6091,34.11578,-118.757507,10,FALSE,"nb",1
"Bird","mourning dove","Live individuals",8242,31.596231,-110.575493,10,FALSE,"nb",1
"Bird","mourning dove","Live individuals",9652,44.768246,-94.155746,10,FALSE,"nb",1
